District,State,Data Domain,Employee Group,Employee Sub Group,Document Type,School Year,Website,Source Type,Parser,Parser Version,Normalization Required,Status,Priority,Expected Rows,Refresh Frequency,Authentication Required,Owner,Tags,Notes
Adams 12,CO,Compensation,Cabinet,Cabinet,Salary Schedule,2026-27,https://www.adams12.org/fs/resource-manager/view/96c8466f-c2bf-4e6f-acd9-e8dbb2f12566,Resource Manager,Admin Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Adams 12; Cabinet; Salary Schedule,
Adams 12,CO,Compensation,Admin,Admin,Salary Schedule,2026-27,https://www.adams12.org/fs/resource-manager/view/96c8466f-c2bf-4e6f-acd9-e8dbb2f12566,Resource Manager,Admin Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Adams 12; Admin; Salary Schedule,
Adams 12,CO,Compensation,Admin,IT Admin,Salary Schedule,2026-27,https://www.adams12.org/fs/resource-manager/view/395b4aed-09f9-4b3a-8eda-2ef2e9fc1e47,Resource Manager,Admin Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Adams 12; Admin; Salary Schedule,
Adams 12,CO,Compensation,Admin,School Leaders,Salary Schedule,2026-27,https://www.adams12.org/fs/resource-manager/view/9a14f9f0-0941-4107-9128-29cfec4d74f0,Resource Manager,Admin Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Adams 12; Admin; Salary Schedule,
Adams 12,CO,Compensation,Licensed,Licensed,Salary Schedule,2025-26,https://www.adams12.org/fs/resource-manager/view/729d0a55-a56b-4250-bf6d-442473232f1a,Resource Manager,Teacher Schedule,v1,Steps/Lanes,Active,1,,Annual,No,K12CI,Adams 12; Licensed; Salary Schedule,
Adams 12,CO,Compensation,Classified,Classified,Salary Schedule,2026-27,https://www.adams12.org/fs/resource-manager/view/65f4a26c-e7da-473c-9015-48411767d6bb,Resource Manager,Classified Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Adams 12; Classified; Salary Schedule,
Adams 12,CO,Compensation,Classified,Classified,Job Listing,2026-27,https://www.adams12.org/fs/resource-manager/view/3b05db0d-b35a-4c09-8caf-63ef70e7773d,Resource Manager,Job List,v1,Titles/Grades,Active,2,,Annual,No,K12CI,Adams 12; Classified; Job Listing,
Aurora Public Schools,CO,Compensation,Licensed,Licensed,Salary Schedule,2026-27,https://drive.google.com/file/d/1WjiM530D-ssaHhMdSXPiqK_UzY3qriEt/view?usp=drive_link,Google Drive File,Teacher Schedule,v1,Steps/Lanes,Active,1,,Annual,No,K12CI,Aurora Public Schools; Licensed; Salary Schedule,
Aurora Public Schools,CO,Compensation,Admin,Admin,Salary Schedule,2026-27,https://drive.google.com/file/d/1S2QLpdvKUalNP9fRN2OFsxLnBtEi0WBy/view?usp=drive_link,Google Drive File,Admin Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Aurora Public Schools; Admin; Salary Schedule,
Aurora Public Schools,CO,Compensation,Classified,Classified,Salary Schedule,2026-27,https://drive.google.com/file/d/1ECdVNRxdhrpDw5CSvJ_QxCFAyACG1ZhP/view?usp=drive_link,Google Drive File,Classified Range,v1,Salary Range,Active,1,,Annual,No,K12CI,Aurora Public Schools; Classified; Salary Schedule,
Aurora Public Schools,CO,Compensation,Licensed,Licensed,Job Descriptions,2026-27,https://drive.google.com/drive/folders/1FZoxYZJXm1eF-O0kd0TEJDHfL74t_eD-,Google Drive Folder,Job Description,v1,Titles,Active,3,,Annual,No,K12CI,Aurora Public Schools; Licensed; Job Descriptions,
